dir,brain_id,sex,age
RNA200930CM_1161_S11_L001/,1161,F,20
RNA200930CM_1163_S23_L002/,1163,M,20
RNA200930CM_1164_S10_L001/,1164,M,50
RNA200930CM_1169_postDNase_S28_L002/,1169,M,50
RNA200930CM_1170R_S31_L002/,1170R,F,50
RNA200930CM_1174_S12_L001/,1174,F,20
RNA200930CM_1179_S24_L002/,1179,M,20
RNA200930CM_1184_S25_L002/,1184,M,20
RNA200930CM_1186_S26_L002/,1186,M,20
RNA200930CM_1187_S13_L001/,1187,F,20
RNA200930CM_1189_postDNase_S14_L001/,1189,F,20
RNA200930CM_1190_postDNase_S15_L001/,1190,F,20
RNA200930CM_1191_S29_L002/,1191,M,50
RNA200930CM_1192_S8_L001/,1192,M,50
RNA200930CM_1195_S27_L002/,1195,M,20
RNA200930CM_1197R_S32_L002/,1197R,F,50
RNA200930CM_1198W_S35_L002/,1198W,F,50
RNA200930CM_1202R_S33_L002/,1202R,F,50
RNA200930CM_1203_S9_L001/,1203,M,50
RNA200930CM_1204R_S34_L002/,1204R,F,50
RNA200930CM_1204_S16_L001/,1204,F,50
RNA200930CM_1206_S30_L002/,1206,F,50